"f","count"
"original_shape_Elongation",250
"original_shape_Flatness",250
"original_shape_Sphericity",207
"original_firstorder_Mean",222
"log.sigma.1.0.mm.3D_firstorder_RootMeanSquared",235
"log.sigma.1.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",188
"log.sigma.1.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",248
"log.sigma.1.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",177
"log.sigma.1.0.mm.3D_gldm_DependenceNonUniformityNormalized",184
"log.sigma.2.0.mm.3D_firstorder_Skewness",76
"log.sigma.2.0.mm.3D_glrlm_ShortRunHighGrayLevelEmphasis",120
"log.sigma.2.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",33
"log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",192
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",159
"log.sigma.3.0.mm.3D_firstorder_Median",218
"log.sigma.3.0.mm.3D_glcm_Autocorrelation",165
"log.sigma.3.0.mm.3D_glcm_ClusterShade",169
"log.sigma.3.0.mm.3D_glcm_Imc2",221
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",173
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",232
"log.sigma.3.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",31
"log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",173
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",227
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformity",167
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",159
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",122
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",243
"wavelet.LLH_firstorder_InterquartileRange",226
"wavelet.LLH_firstorder_Kurtosis",24
"wavelet.LLH_firstorder_Median",78
"wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized",55
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",230
"wavelet.LLH_glszm_SizeZoneNonUniformity",250
"wavelet.LLH_glszm_SmallAreaEmphasis",101
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",216
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",216
"wavelet.LLH_gldm_DependenceVariance",199
"wavelet.LHL_firstorder_MeanAbsoluteDeviation",195
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",250
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",244
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",223
"wavelet.LHL_gldm_DependenceNonUniformityNormalized",241
"wavelet.LHH_firstorder_Mean",244
"wavelet.LHH_firstorder_Median",248
"wavelet.LHH_firstorder_Skewness",213
"wavelet.LHH_firstorder_Variance",50
"wavelet.LHH_glcm_ClusterShade",204
"wavelet.LHH_glcm_Correlation",12
"wavelet.LHH_glcm_InverseVariance",195
"wavelet.LHH_glrlm_GrayLevelVariance",27
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",248
"wavelet.LHH_glszm_GrayLevelVariance",182
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",235
"wavelet.LHH_gldm_DependenceNonUniformity",181
"wavelet.LHH_gldm_DependenceVariance",217
"wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis",107
"wavelet.HLL_firstorder_Kurtosis",152
"wavelet.HLL_firstorder_Skewness",225
"wavelet.HLL_glcm_Imc2",35
"wavelet.HLL_glrlm_GrayLevelNonUniformityNormalized",143
"wavelet.HLL_glrlm_ShortRunHighGrayLevelEmphasis",250
"wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis",248
"wavelet.HLL_glszm_SmallAreaLowGrayLevelEmphasis",210
"wavelet.HLL_gldm_DependenceNonUniformityNormalized",237
"wavelet.HLH_firstorder_Mean",235
"wavelet.HLH_firstorder_Median",220
"wavelet.HLH_firstorder_Skewness",184
"wavelet.HLH_glcm_ClusterShade",195
"wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis",219
"wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis",198
"wavelet.HLH_glrlm_RunEntropy",186
"wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis",155
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",57
"wavelet.HLH_glszm_LowGrayLevelZoneEmphasis",246
"wavelet.HLH_gldm_DependenceNonUniformity",36
"wavelet.HLH_gldm_DependenceVariance",245
"wavelet.HHL_firstorder_Mean",248
"wavelet.HHL_firstorder_Median",249
"wavelet.HHL_firstorder_RootMeanSquared",123
"wavelet.HHL_firstorder_Skewness",223
"wavelet.HHL_glcm_ClusterShade",220
"wavelet.HHL_glrlm_LongRunEmphasis",159
"wavelet.HHL_glrlm_RunEntropy",245
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",186
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",244
"wavelet.HHL_gldm_DependenceNonUniformityNormalized",248
"wavelet.HHL_gldm_DependenceVariance",233
"wavelet.HHH_firstorder_Median",250
"wavelet.HHH_firstorder_Skewness",244
"wavelet.HHH_glcm_ClusterShade",210
"wavelet.HHH_glcm_Imc1",196
"wavelet.HHH_glrlm_RunVariance",245
"wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis",146
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",220
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",215
"wavelet.HHH_glszm_ZoneVariance",155
"wavelet.HHH_gldm_DependenceVariance",242
"wavelet.HHH_gldm_LowGrayLevelEmphasis",247
"wavelet.LLL_firstorder_Skewness",203
"wavelet.LLL_glcm_ClusterShade",151
"wavelet.LLL_glrlm_ShortRunLowGrayLevelEmphasis",144
"wavelet.LLL_glszm_SmallAreaEmphasis",185
"wavelet.LLL_glszm_SmallAreaHighGrayLevelEmphasis",144
"wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis",125
"wavelet.LLL_gldm_LargeDependenceHighGrayLevelEmphasis",134
"wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis",219
"gradient_firstorder_Minimum",97
"gradient_glcm_Imc2",198
"gradient_glrlm_ShortRunLowGrayLevelEmphasis",71
"gradient_glszm_SizeZoneNonUniformity",162
"gradient_gldm_DependenceNonUniformityNormalized",238
"lbp.3D.m2_firstorder_Maximum",249
"lbp.3D.m2_glcm_ClusterShade",104
"lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis",232
"lbp.3D.m2_glszm_HighGrayLevelZoneEmphasis",181
"lbp.3D.k_firstorder_Minimum",144
"lbp.3D.k_glrlm_RunEntropy",232
"lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis",141
"lbp.3D.k_gldm_DependenceEntropy",193
"logarithm_firstorder_Kurtosis",172
