f,count
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,40
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,80
wavelet.HHH_glszm_SmallAreaEmphasis,32
lbp.3D.k_firstorder_10Percentile,42
lbp.3D.k_glcm_ClusterShade,58
wavelet.HHL_firstorder_Median,144
wavelet.LHH_firstorder_Skewness,29
wavelet.HHH_glcm_ClusterShade,82
lbp.3D.m1_glcm_ClusterShade,10
original_shape_Elongation,16
wavelet.HLH_firstorder_Skewness,7
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,21
wavelet.HHL_firstorder_Skewness,31
wavelet.HLH_glcm_ClusterShade,20
wavelet.LHL_firstorder_Median,9
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,1
gradient_glszm_LargeAreaHighGrayLevelEmphasis,4
wavelet.HHL_firstorder_Mean,6
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,10
wavelet.HHH_firstorder_Median,12
wavelet.HHL_glcm_ClusterShade,4
log.sigma.2.0.mm.3D_firstorder_Kurtosis,4
wavelet.LHH_glcm_ClusterShade,3
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,1
wavelet.HHL_glcm_ClusterProminence,4
wavelet.HHH_firstorder_Skewness,2
original_shape_Flatness,3
wavelet.LLH_firstorder_Skewness,2
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,1
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,1
lbp.3D.m1_firstorder_Skewness,3
wavelet.HHH_firstorder_Mean,1
wavelet.HHH_firstorder_Kurtosis,1
iter,250
